2021-01-10 19:22:37.587 | INFO  | main | tickets.transactions | hello world
2021-01-10 19:22:37.608 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 3 was attended by Cashier 1
2021-01-10 19:22:37.610 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 2 was attended by Cashier 0
2021-01-10 19:22:37.610 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 1 was attended by Cashier 2
2021-01-10 19:22:37.610 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 4 was attended by Cashier 1
2021-01-10 19:22:37.613 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 5 was attended by Cashier 0
2021-01-10 19:22:37.614 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 6 was attended by Cashier 2
2021-01-10 19:22:37.614 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 7 was attended by Cashier 1
2021-01-10 19:22:37.614 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 8 was attended by Cashier 0
2021-01-10 19:22:37.614 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 9 was attended by Cashier 2
2021-01-10 19:22:37.616 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 10 was attended by Cashier 1
2021-01-10 19:22:37.616 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 11 was attended by Cashier 0
2021-01-10 19:22:37.616 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 12 was attended by Cashier 2
2021-01-10 19:22:37.616 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 13 was attended by Cashier 1
2021-01-10 19:22:37.617 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 14 was attended by Cashier 0
2021-01-10 19:22:37.617 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 15 was attended by Cashier 2
2021-01-10 19:22:37.617 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 16 was attended by Cashier 1
2021-01-10 19:22:37.618 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 17 was attended by Cashier 0
2021-01-10 19:22:37.618 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 18 was attended by Cashier 2
2021-01-10 19:22:37.619 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 19 was attended by Cashier 1
2021-01-10 19:22:37.619 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 20 was attended by Cashier 0
2021-01-10 19:22:37.619 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 21 was attended by Cashier 2
2021-01-10 19:22:37.620 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 22 was attended by Cashier 1
2021-01-10 19:22:37.623 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 23 was attended by Cashier 0
2021-01-10 19:22:37.623 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 24 was attended by Cashier 2
2021-01-10 19:22:37.624 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 25 was attended by Cashier 1
2021-01-10 19:22:37.624 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 26 was attended by Cashier 0
2021-01-10 19:22:37.624 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 27 was attended by Cashier 2
2021-01-10 19:22:37.625 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 29 was attended by Cashier 0
2021-01-10 19:22:37.625 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 28 was attended by Cashier 1
2021-01-10 19:22:37.626 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 30 was attended by Cashier 2
2021-01-10 19:22:37.626 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 31 was attended by Cashier 0
2021-01-10 19:22:37.627 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 32 was attended by Cashier 1
2021-01-10 19:22:37.629 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 33 was attended by Cashier 0
2021-01-10 19:22:37.629 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 35 was attended by Cashier 1
2021-01-10 19:22:37.629 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 34 was attended by Cashier 2
2021-01-10 19:22:37.631 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 36 was attended by Cashier 0
2021-01-10 19:22:37.631 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 37 was attended by Cashier 1
2021-01-10 19:22:37.641 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 38 was attended by Cashier 2
2021-01-10 19:22:37.642 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 41 was attended by Cashier 2
2021-01-10 19:22:37.642 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 40 was attended by Cashier 1
2021-01-10 19:22:37.643 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 39 was attended by Cashier 0
2021-01-10 19:22:37.646 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 42 was attended by Cashier 2
2021-01-10 19:22:37.647 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 43 was attended by Cashier 1
2021-01-10 19:22:37.648 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 44 was attended by Cashier 0
2021-01-10 19:22:37.648 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 47 was attended by Cashier 0
2021-01-10 19:22:37.649 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 46 was attended by Cashier 1
2021-01-10 19:22:37.649 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 45 was attended by Cashier 2
2021-01-10 19:22:37.650 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 48 was attended by Cashier 0
2021-01-10 19:22:37.651 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 51 was attended by Cashier 0
2021-01-10 19:22:37.652 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 49 was attended by Cashier 1
2021-01-10 19:22:37.653 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 50 was attended by Cashier 2
2021-01-10 19:22:37.658 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 52 was attended by Cashier 0
2021-01-10 19:22:37.659 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 53 was attended by Cashier 1
2021-01-10 19:22:37.661 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 54 was attended by Cashier 2
2021-01-10 19:22:37.662 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 55 was attended by Cashier 0
2021-01-10 19:22:37.663 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 56 was attended by Cashier 1
2021-01-10 19:22:37.663 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 57 was attended by Cashier 2
2021-01-10 19:22:37.664 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 58 was attended by Cashier 0
2021-01-10 19:22:37.664 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 59 was attended by Cashier 1
2021-01-10 19:22:37.665 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 60 was attended by Cashier 2
2021-01-10 19:22:37.665 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 61 was attended by Cashier 0
2021-01-10 19:22:37.665 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 62 was attended by Cashier 1
2021-01-10 19:22:37.666 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 64 was attended by Cashier 0
2021-01-10 19:22:37.666 | INFO  | clojure-agent-send-off-pool-0 | tickets.transactions | Customer 63 was attended by Cashier 2
2021-01-10 19:22:37.666 | INFO  | clojure-agent-send-off-pool-1 | tickets.transactions | Customer 65 was attended by Cashier 1
2021-01-10 19:29:19.990 | INFO  | main | tickets.transactions | hello world
2021-01-10 19:45:37.103 | INFO  | nREPL-session-0c792187-a8e8-48ae-97d2-e6fd4b839cf4 | tickets.transactions | hello world
2021-01-10 19:45:37.120 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 2 was attended by Cashier 1
2021-01-10 19:45:37.132 | INFO  | clojure-agent-send-off-pool-341 | tickets.transactions | Customer 1 was attended by Cashier 0
2021-01-10 19:45:37.132 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 5 was attended by Cashier 0
2021-01-10 19:45:37.133 | INFO  | clojure-agent-send-off-pool-341 | tickets.transactions | Customer 4 was attended by Cashier 1
2021-01-10 19:45:37.133 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 3 was attended by Cashier 2
2021-01-10 19:45:37.134 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 6 was attended by Cashier 0
2021-01-10 19:45:37.135 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 8 was attended by Cashier 2
2021-01-10 19:45:37.136 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 9 was attended by Cashier 0
2021-01-10 19:45:37.137 | INFO  | clojure-agent-send-off-pool-341 | tickets.transactions | Customer 7 was attended by Cashier 1
2021-01-10 19:45:37.137 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 10 was attended by Cashier 2
2021-01-10 19:45:37.137 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 11 was attended by Cashier 0
2021-01-10 19:45:37.138 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 13 was attended by Cashier 2
2021-01-10 19:45:37.139 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 15 was attended by Cashier 2
2021-01-10 19:45:37.141 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 12 was attended by Cashier 1
2021-01-10 19:45:37.143 | INFO  | clojure-agent-send-off-pool-341 | tickets.transactions | Customer 16 was attended by Cashier 2
2021-01-10 19:45:37.145 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 17 was attended by Cashier 1
2021-01-10 19:45:37.145 | INFO  | clojure-agent-send-off-pool-341 | tickets.transactions | Customer 14 was attended by Cashier 0
2021-01-10 19:45:37.147 | INFO  | clojure-agent-send-off-pool-336 | tickets.transactions | Customer 20 was attended by Cashier 0
2021-01-10 19:45:37.148 | INFO  | clojure-agent-send-off-pool-341 | tickets.transactions | Customer 19 was attended by Cashier 1
